


山东频道,#genre#
茶频道,http://nn.7x9d.cn/地方台8563/湖南2.php?id=578
金鹰纪实,http://nn.7x9d.cn/地方台8563/湖南2.php?id=316
金鹰卡通,http://nn.7x9d.cn/地方台8563/湖南2.php?id=287
快乐垂钓,http://nn.7x9d.cn/地方台8563/湖南2.php?id=218
先锋乒羽,http://nn.7x9d.cn/地方台8563/湖南2.php?id=329
长沙新闻,http://nn.7x9d.cn/地方台8563/湖南2.php?id=269
长沙政法,http://nn.7x9d.cn/地方台8563/湖南2.php?id=254
长沙女性,http://nn.7x9d.cn/地方台8563/湖南2.php?id=230
河南频道,#genre#
河南卫视,http://www.kaniptv.cn/aa/hntv.php?id=hnws
河南都市,http://www.kaniptv.cn/aa/hntv.php?id=hnds
河南民生,http://www.kaniptv.cn/aa/hntv.php?id=hnms
河南法治,http://www.kaniptv.cn/aa/hntv.php?id=hmfz
河南电视剧,http://www.kaniptv.cn/aa/hntv.php?id=hndsj
河南新闻,http://www.kaniptv.cn/aa/hntv.php?id=hnxw
欢腾购物,http://www.kaniptv.cn/aa/hntv.php?id=htgw
河南公共,http://www.kaniptv.cn/aa/hntv.php?id=hngg
河南乡村,http://www.kaniptv.cn/aa/hntv.php?id=hnxc
河南国际,http://www.kaniptv.cn/aa/hntv.php?id=hngj
河南梨园,http://www.kaniptv.cn/aa/hntv.php?id=hnly
文物宝库,http://www.kaniptv.cn/aa/hntv.php?id=wwbk
武术世界,http://www.kaniptv.cn/aa/hntv.php?id=wspd
睛彩中原,http://www.kaniptv.cn/aa/hntv.php?id=jczy
移动戏曲,http://www.kaniptv.cn/aa/hntv.php?id=ydxj
象视界,http://www.kaniptv.cn/aa/hntv.php?id=xsj
国学频道,http://www.kaniptv.cn/aa/hntv.php?id=gxpd
吉林频道,#genre#
吉林卫视,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlws
吉林都市,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlds
吉林生活,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlsh
吉林影视,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlys
吉林乡村,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlxc
吉林公共·新闻,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlggxw
吉林综艺·文化,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlzywh
延边卫视,http://www.kaniptv.cn/aa/吉林/jst.php?id=ybws
长春综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=cczh
吉林市新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=jlszh
四平新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=spzh
辽源新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=lyzh
通化新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=thzh
白山新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=bszh
白城新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=bczh
松原新闻综合,http://www.kaniptv.cn/aa/吉林/jst.php?id=syzh
上海频道,#genre#
上海东方卫视,http://www.kaniptv.cn/aa/shkdf.php?id=22
上海新闻综合,http://www.kaniptv.cn/aa/shkdf.php?id=20
上海都市频道,http://www.kaniptv.cn/aa/shkdf.php?id=18
上海新纪实,http://www.kaniptv.cn/aa/shkdf.php?id=1600
上海魔都眼,http://www.kaniptv.cn/aa/shkdf.php?id=1601
上海乐游频道,http://www.kaniptv.cn/aa/shkdf.php?id=1745
上海第一财经,http://www.kaniptv.cn/aa/shkdf.php?id=21
上海五星体育,http://www.kaniptv.cn/aa/shkdf.php?id=1605
